feature,importance_gain
current_win_pct,61196.47989702225
material_count,26910.478875637054
abs_eval_cp,22040.485949516296
material_imbalance,21753.694427013397
mover_elo,19680.54590702057
attackers_near_own_king,13781.5982131958
legal_move_count,12392.526738166809
hanging_piece_count,7755.680600643158
phase_piece_count,3841.1099138259888
passed_pawns_opponent,3169.5099687576294
castling_queenside,1607.9628067016602
passed_pawns_mover,1458.5256900787354
rating_band_index,772.6034002304077
side_to_move_white,543.3138980865479
castling_kingside,409.22500228881836
in_check,217.86869430541992
