feature,importance_gain
abs_eval_cp,4520.535538136959
current_win_pct,3992.511221885681
material_imbalance,2502.3114211559296
legal_move_count,1757.3477140665054
mover_elo,1630.324918270111
maia_entropy,1336.4677374958992
maia_stockfish_best_probability,1052.4166701287031
attackers_near_own_king,698.7154248952866
maia_top1_probability,598.3415806293488
material_count,536.169526040554
rating_band_index,214.75012981891632
hanging_piece_count,159.35515117645264
passed_pawns_mover,154.45996713638306
passed_pawns_opponent,146.44400930404663
phase_piece_count,130.2924690246582
castling_queenside,107.48120975494385
side_to_move_white,28.321789264678955
castling_kingside,9.879280090332031
in_check,0.0
